id,cid,tag,blabel,publicview,imgvh,title1,creator1,contributor1,contributor2,contributor3,contributor4,contributor5,contributor6,contributor7,contributor8,contributor9,subject1,subject2,subject3,description1,description2,description3,description4,publisher1,date1,type1,type2,format1,identifier1,identifier2,source1,language1,relation1,coverage1,pdffile,pdfsize,donated
11,0,0012_003049_000211,A Bill of Divorcement,1,650,A Bill of Divorcement,University of Tennessee Theatre Department ,"Dane, Clemence",,,,"Soper, Paul L.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, April 10, 11, 12, 13, 1946, Tyson Junior High School, Directed by Paul L. Soper",1945-46,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1946-04-10,Text,,image/jpeg,0235,,,English,,"Apr 10-13, 1946",0012_003049_000211.pdf,4763413,
12,0,0012_003049_000212,Juno and the Paycock,1,650,Juno and the Paycock,University of Tennessee Theatre Department ,"O'Casey, Shean",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, February 4, 5, 6, 1947, Bijou Theatre, Directed by Paul L. Soper",1946-47,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1947-02-04,Text,,image/jpeg,0235,,,English,,"Feb 4-6, 1947",0012_003049_000212.pdf,6693396,
13,0,0012_003049_000213,Joan of Lorraine,1,650,Joan of Lorraine,University of Tennessee Theatre Department ,"Anderson, Maxwell",,,,"Soper, Paul L.",,,,Oak Ridge High School Auditorium,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, November 28, 1947, Oak Ridge High School Auditorium, Directed by Paul L. Soper",1947-48,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1947-11-28,Text,,image/jpeg,0235,,,English,,"Nov 28, 1947",0012_003049_000213.pdf,2276508,
14,0,0012_003049_000214,Dinner at Eight,1,650,Dinner at Eight,University of Tennessee Theatre Department ,"Kaufman, George S. ","Ferber, Edna",,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, February 17, 18, 1948, Bijou Theatre, Directed by Paul L. Soper",1947-48,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1948-02-17,Text,,image/jpeg,0235,,,English,,"Feb 17-18, 1948",0012_003049_000214.pdf,6228373,
15,0,0012_003049_000215,The Front Page,1,650,The Front Page,University of Tennessee Theatre Department ,"Hecht, Ben","MacArthur, Charles",,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, November 10, 11, 1948, Bijou Theatre, Directed by Paul L. Soper",1948-49,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1948-11-10,Text,,image/jpeg,0235,,,English,,"Nov 10-11, 1948",0012_003049_000215.pdf,6363032,
16,0,0012_003049_000216,John Loves Mary,1,650,John Loves Mary,University of Tennessee Theatre Department ,"Krasna, Norman",,,,"Hinkel, Cecil E.",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, January 20, 21, 1949, Tyson Junior High School Auditorium, Directed by Cecil E. Hinkel",1948-49,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1949-01-20,Text,,image/jpeg,0235,,,English,,"Jan 20-21, 1949",0012_003049_000216.pdf,1975621,
17,0,0012_003049_000217,They Knew What They Wanted,1,650,They Knew What They Wanted,University of Tennessee Theatre Department ,"Howard, Sidney",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, February 9, 10, 1949, Bijou Theatre Directed by Paul L. Soper",1948-49,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1949-02-09,Text,,image/jpeg,0235,,,English,,"Feb 9-10, 1949",0012_003049_000217.pdf,4293643,
18,0,0012_003049_000218,Candida,1,650,Candida,University of Tennessee Theatre Department ,"Shaw, George Bernard",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Playhouse,"Playbill, April 13, 14, 1949, Bijou Theatre, Directed by Paul L. Soper",1948-49,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1949-04-13,Text,,image/jpeg,0235,,,English,,"Apr 13-14, 1949",0012_003049_000218.pdf,4148197,
19,0,0012_003049_000219,The Play's The Thing,1,650,The Play's The Thing,University of Tennessee Theatre Department ,"Molnar, Ferenc",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, January 25, 26, 1950, Bijou Theatre, Directed by Paul L. Soper (Adapted from the Hungarian by P. G. Wodehouse)",1949-50,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1950-01-25,Text,,image/jpeg,0235,,,English,,"Jan 25-26, 1950",0012_003049_000219.pdf,4089754,
20,0,0012_003049_000220,Jason,1,650,Jason,University of Tennessee Theatre Department ,"Raphaelson, Samson",,,,"Fields, Fred",,,,Tyson Junior High School,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, February 15, 16, 17, 1950, Tyson Junior High School Auditorium, Directed by Fred Fields",1949-50,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1950-02-15,Text,,image/jpeg,0235,,,English,,"Feb 15-17, 1950",0012_003049_000220.pdf,1891965,
21,0,0012_003049_000221,The Little Foxes,1,650,The Little Foxes,University of Tennessee Theatre Department ,"Hellman, Lillian",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, April 12, 13, 1950, Bijou Theatre, Directed by Paul L. Soper",1949-50,1940/41-1949/50,"Knoxville, Tenn. : The University of Tennessee",1950-04-12,Text,,image/jpeg,0235,,,English,,"Apr 12-13, 1950",0012_003049_000221.pdf,3996409,
22,0,0012_003049_000222,Born Yesterday,1,650,Born Yesterday,University of Tennessee Theatre Department ,"Kanin, Garson",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, November 8, 9, 1950, Bijou Theatre, Directed by Paul L. Soper",1950-51,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1950-11-08,Text,,image/jpeg,0235,,,English,,"Nov 8-9, 1950",0012_003049_000222.pdf,4180281,
23,0,0012_003049_000223,Our Town,1,650,Our Town,University of Tennessee Theatre Department ,"Wilder, Thornton",,,,"Soper, Paul L.",,,,First Touring Season of the U. T. Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, Fall 1950, First Touring Season of the U. T. Theatre, Directed by Paul L. Soper",1950-51,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1950-11,Text,,image/jpeg,0235,,,English,,"Fall 1950, First Touring Season of the U. T. Theatre",0012_003049_000223.pdf,1988814,
24,0,0012_003049_000224,Journey's End,1,650,Journey's End,University of Tennessee Theatre Department ,"Sherriff, R. C.",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, January 24, 25, 1951, Bijou Theatre, Directed by Paul L. Soper",1950-51,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1951-01-24,Text,,image/jpeg,0235,,,English,,"Jan 24-25, 1951",0012_003049_000224.pdf,4131002,
25,0,0012_003049_000225,Light Up The Sky,1,650,Light Up The Sky,University of Tennessee Theatre Department ,"Hart, Moss",,,,"Fields, Fred",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, Summer 1951, The Carousel Theatre, Directed by Fred Fields",1950-51,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1951-06,Text,,image/jpeg,0235,,,English,,Summer 1951,0012_003049_000225.pdf,4962005,
26,0,0012_003049_000226,Night Must Fall,1,650,Night Must Fall,University of Tennessee Theatre Department ,"Williams, Emlyn",,,,"Soper, Paul L.",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, Summer 1951, The Carousel Theatre, Directed by Paul L. Soper",1950-51,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1951-07,Text,,image/jpeg,0235,,,English,,Summer 1951,0012_003049_000226.pdf,1738274,
27,0,0012_003049_000227,"Goodbye, My Fancy",1,650,"Goodbye, My Fancy",University of Tennessee Theatre Department ,"Kanin, Fay",,,,"Fields, Fred",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, Summer 1951, The Carousel Theatre, Directed by Fred Fields",1950-51,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1951-07,Text,,image/jpeg,0235,,,English,,Summer 1951,0012_003049_000227.pdf,5064205,
28,0,0012_003049_000228,Accent on Youth,1,650,Accent on Youth,University of Tennessee Theatre Department ,"Raphaelson, Samson",,,,"Soper, Paul L.","Fields, Fred",,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, Summer 1951, The Carousel Theatre, Directed by Paul L. Soper and Fred Fields",1950-51,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1951-07,Text,,image/jpeg,0235,,,English,,Summer 1951,0012_003049_000228.pdf,4977273,
29,0,0012_003049_000229,Detective Story,1,650,Detective Story,University of Tennessee Theatre Department ,"Kingsley, Sidney",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, November 7, 8, 1951, Bijou Theatre, Directed by Paul L. Soper",1951-52,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1951-11-07,Text,,image/jpeg,0235,,,English,,"Nov 7-8, 1951",0012_003049_000229.pdf,3959591,
30,0,0012_003049_000230,Golden Boy,1,650,Golden Boy,University of Tennessee Theatre Department ,"Odets, Clifford",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, January 23, 24, 1952, Bijou Theatre, Directed by Paul L. Soper",1951-52,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1952-01-23,Text,,image/jpeg,0235,,,English,,"Jan 23-24, 1952",0012_003049_000230.pdf,4105346,
31,0,0012_003049_000231,The Circle,1,650,The Circle,University of Tennessee Theatre Department ,"Maugham, Somerset",,,,"Green, Russell",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, April 2, 3, 1952, Bijou Theatre, Directed by Russell E. Green",1951-52,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1952-04-02,Text,,image/jpeg,0235,,,English,,"Apr 2-3, 1952",0012_003049_000231.pdf,4331267,
32,0,0012_003049_000232,Blithe Spirit,1,650,Blithe Spirit,University of Tennessee Theatre Department ,"Coward, Noel",,,,"Soper, Paul L.",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, June 17, 18, 19, 20, 21, 1952, The Carousel Theatre, Directed by Paul L. Soper",1951-52,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1952-06-17,Text,,image/jpeg,0235,,,English,,"June 17-21, 1952",0012_003049_000232.pdf,5609209,
33,0,0012_003049_000233,The Hasty Heart,1,650,The Hasty Heart,University of Tennessee Theatre Department ,"Patrick, John",,,,"Fields, Fred",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, June 24-28, 1952, The Carousel Theatre, Directed by Fred Fields",1951-52,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1952-06-24,Text,,image/jpeg,0235,,,English,,"June 24-28, 1952",0012_003049_000233.pdf,5463145,
34,0,0012_003049_000234,The Happy Time,1,650,The Happy Time,University of Tennessee Theatre Department ,"Taylor, Samuel",,,,"Soper, Paul L.",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, July 8-12, 1952 The Carousel Theatre, Directed by Paul Soper",1951-52,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1952-07-08,Text,,image/jpeg,0235,,,English,,"July 8-12, 1952",0012_003049_000234.pdf,5506543,
35,0,0012_003049_000235,The Philadelphia Story,1,650,The Philadelphia Story,University of Tennessee Theatre Department ,"Barry, Philip",,,,,,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, July 15-19, 1952, The Carousel Theatre",1951-52,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1952-07-15,Text,,image/jpeg,0235,,,English,,"July 15-19, 1952",0012_003049_000235.pdf,5623146,
36,0,0012_003049_000236,Death of a Salesman,1,650,Death of a Salesman,University of Tennessee Theatre Department ,"Miller, Arthur",,,,"Soper, Paul L.",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, Novermber 12-13 Bijou Theatre, Directed by Paul Soper",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1952-11-12,Text,,image/jpeg,0235,,,English,,"Nov 12-13, 1952",0012_003049_000236.pdf,5536273,
37,0,0012_003049_000237,You Can't Take it With You,1,650,You Can't Take it With You,University of Tennessee Theatre Department ,"Hart, Moss","Kaufman, George",,,"Fields, Fred",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, November 19-25 The Carousel Theatre, Directed by Fred Fields",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1952-11-19,Text,,image/jpeg,0235,,,English,,"Nov 19-25, 1952",0012_003049_000237.pdf,5631390,
38,0,0012_003049_000238,Life with Mother,1,650,Life with Mother,University of Tennessee Theatre Department ,"Lindsay, Howard","Crouse, Russel",,,"Soper, Paul L.",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, Febuary 9-14, 1953 The Carousel Theatre, Directed by Paul Soper",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-02-09,Text,,image/jpeg,0235,,,English,,"Feb 9-14, 1953",0012_003049_000238.pdf,27742392,
39,0,0012_003049_000239,Dangerous Corner,1,650,Dangerous Corner,University of Tennessee Theatre Department ,"Priestly, J. B.",,,,"Fields, Fred",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, Feburary 25 - March 3 1953, Carousel Theatre, Directed by Fred Fields",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-02-25,Text,,image/jpeg,0235,,,English,,"Feb 25 - Mar 3, 1953",0012_003049_000239.pdf,5712458,
40,0,0012_003049_000240,Season in the Sun,1,650,Season in the Sun,University of Tennessee Theatre Department ,"Gibbs, Wolcot",,,,"Soper, Paul L.",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, March 26 - April 1 1953, Carousel Theatre, Directed by Paul Soper",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-03-26,Text,,image/jpeg,0235,,,English,,"Mar 26 - Apr 1, 1953",0012_003049_000240.pdf,5880355,
41,0,0012_003049_000241,Hay Fever,1,650,Hay Fever,University of Tennessee Theatre Department ,"Coward, Noel",,,,"Fields, Fred",,,,Bijou Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,UT Theatre,"Playbill, April 8-9 1953, Bijou Theatre, Directed by Fred Fields",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-04-08,Text,,image/jpeg,0235,,,English,,"Apr 8-9, 1953",0012_003049_000241.pdf,5496885,
42,0,0012_003049_000242,Lo and Behold,1,650,Lo and Behold,University of Tennessee Theatre Department ,"Patrick, John",,,,"Green, Russell",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, April 22 - 28 1953, Carousel Theatre, Directed by Russel Green",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-04-22,Text,,image/jpeg,0235,,,English,,"Apr 22-28, 1953",0012_003049_000242.pdf,5817410,
43,0,0012_003049_000243,Arsenic and Old Lace,1,650,Arsenic and Old Lace,University of Tennessee Theatre Department ,"Kesselring, Joseph",,,,"Soper, Paul L.",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, June 23 - 27 1953, Carousel Theatre, Directed by Paul Soper",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-06-23,Text,,image/jpeg,0235,,,English,,"June 23-27, 1953",0012_003049_000243.pdf,5683832,
44,0,0012_003049_000244,"Bell, Book and Candle",1,650,"Bell, Book and Candle",University of Tennessee Theatre Department ,"Druten, John",,,,"Fields, Fred",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, June 16 - 20 1953, Carousel Theatre, Directed by Fred Fields",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-06-16,Text,,image/jpeg,0235,,,English,,"June 16-20, 1953",0012_003049_000244.pdf,5776995,
45,0,0012_003049_000245,Stage Door,1,650,Stage Door,University of Tennessee Theatre Department ,"Ferber, Edna","Kaufman, George",,,"Green, Russell",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, June 30 - July 4, Carousel Theatre, Directed by Russel Green",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-06-30,Text,,image/jpeg,0235,,,English,,"June 30 - July 4, 1953",0012_003049_000245.pdf,5766865,
46,0,0012_003049_000246,"Edward, My Son",1,650,"Edward, My Son",University of Tennessee Theatre Department ,"Morely, Robert","Langley, Noel",,,"Soper, Paul L.",,,,Carousel Theatre,University of Tennessee (Knoxville campus) - Theatre -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1941.",Theater -- Study and teaching.,Carousel Theatre,"Playbill, July 7 - 11 1953, Carousel Theatre, Directed by Paul Soper",1952-53,1950/51-1959/60,"Knoxville, Tenn. : The University of Tennessee",1953-07-07,Text,,image/jpeg,0235,,,English,,"July 7-11, 1953",0012_003049_000246.pdf,5656048,
